Crop,State,Cost_of_Cultivation(Hectare)A2+FL,Cost_of_Cultivation(Hectare)C2,Cost_of_Production(Quintal)C2,Yield,Cost of Cultivation Per Hectare,Per Hectare Cost Price,Yield(KG)
Arhar,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,32870.79,226844.3542,983
Arhar,Karnataka,10593.15,16528.68,2172.46,7.47,27121.83,123469.2396,747
Arhar,Gujarat,13468.82,19551.9,1898.3,9.59,33020.72,187502.721,959
Arhar,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,41223.31,155181.993,642
Arhar,Maharashtra,17130.55,25270.26,2775.8,8.72,42400.81,220356.6672,872
Cotton,Maharashtra,23711.44,33116.82,2539.47,12.69,56828.26,420252.4458,1269
Cotton,Punjab,29047.1,50828.83,2003.76,24.39,79875.93,1239715.164,2439
Cotton,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,73897.49,798012.3176,1783
Cotton,Gujarat,29616.09,42070.44,2179.26,19.05,71686.53,801441.882,1905
Cotton,Haryana,29918.97,44018.18,2127.35,19.9,73937.15,875961.782,1990
Gram,Rajasthan,8552.69,12610.85,1691.66,6.83,21163.54,86132.1055,683
Gram,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,26677.06,173624.9193,1029
Gram,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,34451.47,236289.4399,1093
Gram,Maharashtra,12985.95,18679.33,2277.68,8.05,31665.28,150368.6065,805
Gram,Andhra Pradesh,14421.98,26762.09,1559.04,16.69,41184.07,446659.2821,1669
Ground Nuts,Karnataka,13647.1,17314.2,3484.01,4.71,30961.3,81549.882,471
Ground Nuts,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,51663.62,364302.2817,1197
Ground Nuts,Tamil Nadu,22507.86,30393.66,2358,11.98,52901.52,364116.0468,1198
Ground Nuts,Gujarat,22951.28,30114.45,1918.92,13.45,53065.73,405039.3525,1345
Ground Nuts,Maharashtra,26078.66,32683.46,3207.35,9.33,58762.12,304936.6818,933
Maize,Bihar,13513.92,19857.7,404.43,42.95,33371.62,852888.215,4295
Maize,Karnataka,13792.85,20671.54,581.69,31.1,34464.39,642884.894,3110
Maize,Rajasthan,14421.46,19810.29,658.77,23.56,34231.75,466730.4324,2356
Maize,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,36680.54,288318.007,1370
Maize,Andhra Pradesh,25687.09,37801.85,840.58,42.68,63488.94,1613382.958,4268
Moong,Orissa,5483.54,8266.98,2614.14,3.01,13750.52,24883.6098,301
Moong,Rajasthan,6204.23,9165.59,2068.67,4.05,15369.82,37120.6395,405
Moong,Karnataka,6440.64,7868.64,5777.48,1.32,14309.28,10386.6048,132
Moong,Andhra Pradesh,6684.18,13209.32,2228.97,5.9,19893.5,77934.988,590
Moong,Maharashtra,10780.76,15371.45,2261.24,6.7,26152.21,102988.715,670
Rice,Uttar Pradesh,17022,28144.5,732.62,36.61,45166.5,1030370.145,3661
Rice,Orissa,17478.05,25909.05,715.04,32.42,43387.1,839971.401,3242
Rice,West Bengal,24731.06,33046.12,731.25,39.04,57777.18,1290120.525,3904
Rice,Punjab,25154.75,45291.24,669.86,67.41,70445.99,3053082.488,6741
Rice,Andhra Pradesh,29664.84,46450.2,789.9,56,76115.04,2601211.2,5600
Mustard,Madhya Pradesh,8686.43,17705.93,1279.6,12.94,26392.36,229114.7342,1294
Mustard,Rajasthan,11385.7,19259.84,1341.29,13.54,30645.54,260778.2336,1354
Mustard,Uttar Pradesh,12774.41,22560.3,1595.56,13.57,35334.71,306143.271,1357
Mustard,Gujarat,13740.64,19083.55,1610.4,11.61,32824.19,221560.0155,1161
Mustard,Haryana,14715.27,27507.54,1251.12,19.94,42222.81,548500.3476,1994
Sugarcane,Uttar Pradesh,24538.32,45239.51,93.64,448.89,69777.83,20307563.64,44889
Sugarcane,Karnataka,55655.44,86765.77,86.53,986.21,142421.21,85569270.03,98621
Sugarcane,Andhra Pradesh,56621.16,91442.63,119.72,757.92,148063.79,69306198.13,75792
Sugarcane,Maharashtra,57673.6,85801.95,107.56,744.01,143475.55,63837508.82,74401
Sugarcane,Tamil Nadu,66335.06,89025.27,85.79,1015.45,155360.33,90400710.42,101545
Wheat,Madhya Pradesh,12464.4,22489.75,810.25,23.59,34954.15,530533.2025,2359
Wheat,Punjab,17945.58,35423.48,804.8,39.83,53369.06,1410917.208,3983
Wheat,Uttar Pradesh,18979.38,31902.74,769.84,34.99,50882.12,1116276.873,3499
Wheat,Rajasthan,19119.08,29876.36,683.58,37.19,48995.44,1111101.828,3719
